uid,opinion_valence
-9177714666929073945,-1.0
-9175733498622724489,1.0
-9174761177233661053,1.0
-9174372389208978669,-1.0
-9174313660867608385,-1.0
-9174041603783819556,1.0
-9173973548280592288,1.0
-9173701546002910920,-0.9230769230769231
-9173147757213768933,1.0
-9172405224569934103,1.0
-9171660624780354494,-1.0
-9171262628778380748,1.0
-9170067016311243380,1.0
-9169669695142633722,-1.0
-9169546867396325244,-1.0
-9169499892690450194,-1.0
-9169279623495806901,-1.0
-9166674410230447725,-1.0
-9165252356473269752,-0.30434782608695654
-9164607940138497842,-1.0
-9163844056377451930,-1.0
-9163090959775728085,0.5
-9163026839745698286,1.0
-9162679779267050936,-1.0
-9162031661752855851,-1.0
-9161654041037740970,-1.0
-9161023606643541153,-1.0
-9160835980507589062,-1.0
-9160329854852453942,-0.3333333333333333
-9159637820445496596,1.0
-9159570918709932654,1.0
-9159377477365744360,-1.0
-9158791898195578572,-1.0
-9158751828826725712,1.0
-9156669862193246009,1.0
-9156193135390581010,-1.0
-9155339369229438894,-1.0
-9153854740835975679,-1.0
-9153707605087859592,1.0
-9153419107603094059,-1.0
-9151618480561070055,-1.0
-9151370118979150594,1.0
-9151180264494817059,0.0
-9150539480373120156,1.0
-9149698397568467219,1.0
-9149417548232300736,-1.0
-9149395478774081870,-1.0
-9148954957802381502,1.0
-9147610095127247153,1.0
-9146913757387089737,-1.0
-9146499784128220052,-1.0
-9145418130378082116,1.0
-9144934004066175346,1.0
-9144406416493707778,-1.0
-9143953282962859355,1.0
-9143895055150713717,-1.0
-9143659246473381997,-1.0
-9143220908239783769,1.0
-9142509814688978432,1.0
-9142209929380097571,1.0
-9141483941111729318,-1.0
-9141153739271325939,1.0
-9140260740628629901,-1.0
-9140182733017100778,-1.0
-9139733913730860310,1.0
-9139586550881501780,1.0
-9139509474707395189,1.0
-9139466904955397921,1.0
-9138229580449621044,1.0
-9137668055411752370,-1.0
-9136735486400262314,1.0
-9136634574481929261,1.0
-9136498282055531276,-1.0
-9136086920189234419,1.0
-9135758627823132375,-1.0
-9135249969534815081,-1.0
-9135054574601241496,1.0
-9135052197422206796,-1.0
-9134723696116872406,1.0
-9133443766471759387,-1.0
-9133297805587131833,1.0
-9132377283627468110,-1.0
-9132193572814137666,-1.0
-9132176878183951278,1.0
-9131964885406548288,-1.0
-9131828987781752421,1.0
-9131500382128450079,1.0
-9131220877672476438,-1.0
-9128148160643070121,-1.0
-9126855968467586126,1.0
-9126758246346932257,-1.0
-9126705207582957146,1.0
-9126638146357095617,-1.0
-9126035833482972940,-1.0
-9125399808406974201,-1.0
-9124829850345107456,1.0
-9124611029147262411,1.0
-9124559841437490591,1.0
-9124514309871915827,1.0
-9123972588973753827,0.5
-9123345305422478283,-1.0
-9123133844247122372,1.0
-9122749192932625619,1.0
-9122117593823763142,-1.0
-9121878895495133119,1.0
-9120607072316801523,-1.0
-9120593352512934127,-1.0
-9120574369246002809,-1.0
-9120265089490339938,-1.0
-9120157891048696755,-1.0
-9120136155249936051,1.0
-9120132544526797384,-1.0
-9120069892352540892,-1.0
-9118929611677800243,1.0
-9118396380048513450,-1.0
-9118270753901626579,1.0
-9118268093320214926,-1.0
-9117668778536835948,1.0
-9116950344759802726,-1.0
-9116332181830624467,-1.0
-9115768682955776453,-1.0
-9115553194693640428,-1.0
-9115318796692266282,-1.0
-9114190185279009688,-1.0
-9114004823005652940,-1.0
-9113456789899677276,-1.0
-9113413780033293486,1.0
-9113031308325075825,-0.95
-9111076333282078730,1.0
-9110901790979305349,-1.0
-9110508718887160850,-1.0
-9110427555527536916,1.0
-9110299737763457685,-1.0
-9109141879617589101,-1.0
-9108658829061635800,-1.0
-9107681618684912596,1.0
-9106886797023939851,-1.0
-9105975787316017520,1.0
-9104828271291789898,-1.0
-9104511916699238938,-1.0
-9103539180864217218,-1.0
-9103298179576071706,1.0
-9103225235156538703,-1.0
-9102929130722188063,-1.0
-9102780685186622676,1.0
-9102259858173990278,-1.0
-9102027381426130593,1.0
-9100072400268798053,1.0
-9099598899121106479,1.0
-9098908620932706993,-1.0
-9098741918063946876,-1.0
-9098241737391494562,1.0
-9097754568040599412,-1.0
-9096991367719858203,1.0
-9096788722201542819,-1.0
-9096164643264811360,-1.0
-9094142078972801328,-1.0
-9093616485782902469,1.0
-9092255787755173637,1.0
-9091559883645661464,-0.3333333333333333
-9088966718966008439,-1.0
-9088498274717756041,-1.0
-9088362440047447951,-1.0
-9088354925412454745,-1.0
-9088044061100664188,-1.0
-9087970865489554130,1.0
-9087495053386795930,1.0
-9086072651804646771,1.0
-9085154323335826760,1.0
-9084965307197121612,1.0
-9084730339028583526,0.2
-9084388651242938900,1.0
-9083492010704570901,-1.0
-9082992424935969305,1.0
-9082977395475994984,-1.0
-9082616893904013085,0.875
-9081240857187717236,1.0
-9081162443940355613,1.0
-9080559875634456450,-1.0
-9080322336972390914,1.0
-9075690660295482076,1.0
-9075448752011139124,1.0
-9075435870762752876,1.0
-9075000565140386144,-1.0
-9074967629580658842,1.0
-9074125884353092759,-1.0
-9073171725795499217,1.0
-9072907067877596423,-1.0
-9072548727836005354,0.16981132075471697
-9071400845067186233,-1.0
-9071375566073856797,1.0
-9071360567848958335,-1.0
-9069724530826459814,-1.0
-9069666465494413197,-1.0
-9069385052550975903,-1.0
-9069036358753364956,-1.0
-9068087027356491976,1.0
-9067719220702396495,1.0
-9067131478090658130,-1.0
-9066723559125226113,1.0
-9066170074544769877,-1.0
-9064539554638289452,1.0
-9063333741350855875,-1.0
-9063247170036833310,1.0
-9063055914383572402,1.0
-9062559468056414802,-1.0
-9062097724964908601,1.0
-9058490490809456641,1.0
-9057903432436970890,-0.3333333333333333
-9057172963776183023,-1.0
-9056810846237686295,-0.5
-9055893273574237081,-1.0
-9054846920801692499,1.0
-9054204077305040956,-0.25
-9053921079547805882,-1.0
-9053691676022815255,1.0
-9052840375464114079,-1.0
-9051793802855184814,-1.0
-9051616256732245488,1.0
-9050283867373844310,-1.0
-9050056969794826749,-0.2631578947368421
-9049837419955712623,1.0
-9049580905523253171,-1.0
-9049258317004402399,1.0
-9049025311176084988,1.0
-9049022002588936948,-1.0
-9048164759467705490,-1.0
-9048093669337107516,-1.0
-9047981713057031149,1.0
-9047700368564207774,-1.0
-9046911201260904922,-1.0
-9046693395578753402,-1.0
-9046615252754297102,-1.0
-9046273054991535261,1.0
-9045835082594458312,1.0
-9045693720345275347,-1.0
-9045223699029677400,-1.0
-9044797767954501926,0.0
-9044380265868542048,-1.0
-9044097307561658663,-1.0
-9043955606808908044,-1.0
-9043403602329618477,-1.0
-9042412844714347676,-1.0
-9042321942354611152,-1.0
-9042315443927265006,1.0
-9041708569142117944,0.0
-9041499440321982949,1.0
-9041417380869517224,1.0
-9041311560316200167,1.0
-9040340852863716906,-1.0
-9039184888945300588,-1.0
-9038768568683436102,0.2631578947368421
-9037391493686962888,-1.0
-9035894429680171100,1.0
-9035885828082912634,1.0
-9035583851238486958,-1.0
-9034247522777553516,0.3333333333333333
-9034050616985623954,1.0
-9033837897359589702,-0.3333333333333333
-9033271627651474941,-1.0
-9033117132431393901,1.0
-9032592385390107826,1.0
-9032103923677356616,-1.0
-9031282239420220810,-1.0
-9031251652742434868,-1.0
-9029776444780808115,-1.0
-9028850309915955964,1.0
-9028509650951113715,-0.38461538461538464
-9027209666039902782,-1.0
-9027029565962851630,-1.0
-9026193391259145815,-1.0
-9025920770889220173,-1.0
-9024832109491218326,-1.0
-9024573605787817957,1.0
-9022222099510820440,-1.0
-9021912147270452273,1.0
-9021039666242778875,-1.0
-9020951928307821913,1.0
-9020832904768936672,1.0
-9020171272244220242,1.0
-9020087954195221192,0.0
-9019062129717556401,1.0
-9018682525984701070,-1.0
-9017725225516702183,1.0
-9016365391249892340,-1.0
-9015384828525060762,1.0
-9015315999659145746,1.0
-9015242768327779599,-1.0
-9014701121651344705,-1.0
-9013935663255787997,1.0
-9012507459969820469,-1.0
-9011611487068484897,1.0
-9011483588963512526,1.0
-9011414719805196186,1.0
-9011088897504794797,-1.0
-9010726646069856817,-1.0
-9009129544453337836,1.0
-9009014212385489273,-1.0
-9008863731588513896,-1.0
-9008609239480539248,-1.0
-9007919478059855083,-1.0
-9007790628866543833,1.0
-9006502789309097250,1.0
-9005723218410043242,-1.0
-9004916504597819069,1.0
-9004724650687059239,1.0
-9004044048917600692,-1.0
-9003388906711919037,1.0
-9003031782148351385,-1.0
-9002367977866409836,-1.0
-9001952338289486635,1.0
-9000911657700845383,1.0
-9000643868800034777,-1.0
-9000251752975060462,1.0
-9000177123130307806,-1.0
-8999597036944638963,-1.0
-8999508284867999388,-1.0
-8999355685448265613,-1.0
-8997055035778941410,1.0
-8995375315723166383,-1.0
-8994294432357058484,1.0
-8993828858102894677,1.0
-8993215594209123552,-1.0
-8993180102871365879,1.0
-8992593812435793585,1.0
-8992500121014278990,-1.0
-8991946883212105836,-1.0
-8991185655401035919,-1.0
-8991059300099267433,1.0
-8988546094424803814,-1.0
-8987399585235753988,-1.0
-8986747320887050367,0.5
-8986585674533169751,-1.0
-8986042175109482166,1.0
-8985991849017297874,1.0
-8985690664117199223,1.0
-8985312347285793915,1.0
-8984709759580626132,1.0
-8984569905141381596,-1.0
-8983706049522085975,-1.0
-8982784199899395053,1.0
-8982728046836007305,-1.0
-8982547109031139600,1.0
-8982497627501738024,1.0
-8982448417755264049,1.0
-8982301358364369986,-1.0
-8981999383669322046,-1.0
-8981827998319630734,1.0
-8981651386231519336,-1.0
-8981502506096138357,1.0
-8981491009052526597,-1.0
-8981162617640847098,-1.0
-8979978956121879615,-1.0
-8979728801647976485,-1.0
-8978034744276781266,1.0
-8977494296751823272,1.0
-8977336788984134725,1.0
-8977209672014440648,1.0
-8976969510742544365,1.0
-8976087328892011101,1.0
-8975582820921694547,1.0
-8975493839000716170,-1.0
-8975363216621133561,1.0
-8974275338864284436,1.0
-8974253616330848773,-1.0
-8973348674799765507,1.0
-8973147273303181390,-1.0
-8970330948214954648,-1.0
-8969090268109134444,-1.0
-8968985316574532616,1.0
-8968796203503264041,1.0
-8968661811593482991,1.0
-8968252795746112088,-1.0
-8967742837856084149,0.0
-8967388550210490036,-1.0
-8966743809917794463,1.0
-8966411056852399043,1.0
-8965946547457489950,-0.3333333333333333
-8965849071808002619,-1.0
-8965258386530161876,1.0
-8965253780893416040,0.5260115606936416
-8965088027991201251,-1.0
-8964551554123269302,-1.0
-8964366693600791696,1.0
-8963833575247507597,-1.0
-8963456186386219532,-1.0
-8962605651700074681,-1.0
-8961954883929108700,-1.0
-8961912016913378695,-1.0
-8961802639166134766,0.0
-8961630964420619887,-1.0
-8960687873241713613,-1.0
-8960244513174068646,-1.0
-8959083661821851787,1.0
-8958340483121187289,1.0
-8956916443234598546,-1.0
-8956574400104493346,-1.0
-8955612384597731225,-1.0
-8955311034748793852,1.0
-8955237041521770827,1.0
-8955207520918414656,-1.0
-8954822731762354523,-1.0
-8953938528853481265,1.0
-8953896221199630309,1.0
-8952522198196552454,-1.0
-8952074369450040447,-1.0
-8951900554219093539,-1.0
-8951403626961982786,1.0
-8948265157058915700,1.0
-8947356898190926890,-1.0
-8945927671536578387,-1.0
-8945154340526417343,1.0
-8944629827912748432,-1.0
-8944120359296346883,-1.0
-8942501600473548339,-1.0
-8941595356020982206,-0.3333333333333333
-8940627115942782382,1.0
-8940486392481138604,1.0
-8940335073454899980,-1.0
-8938438381752885368,-1.0
-8938342990819761383,1.0
-8937034570315494354,1.0
-8934715148832633042,1.0
-8934692570334535986,-1.0
-8933876595733103944,1.0
-8933054648044632732,-1.0
-8932962018573522334,-1.0
-8932640590417555291,1.0
-8931583010097452660,1.0
-8931405847752443479,-1.0
-8931313312689313474,1.0
-8930473291759748274,1.0
-8930334393562108702,1.0
-8929531654307074679,-1.0
-8929155278128350349,-1.0
-8929102403158574018,1.0
-8929016996907173417,1.0
-8928750063562382496,1.0
-8928296013872273910,1.0
-8928249714987658844,1.0
-8926518712031059512,1.0
-8926448990064586635,0.6666666666666666
-8926197101378101086,1.0
-8926053104514014418,-1.0
-8925731988570878522,-1.0
-8925145608520595754,-1.0
-8924379919359211033,-1.0
-8923986749597299039,-1.0
-8923363499230492334,-1.0
-8922577316153530673,-0.6
-8922164539828938321,-0.3333333333333333
-8920446985611636196,1.0
-8920182615360297916,1.0
-8920049004459182494,0.6666666666666666
-8919064672513036776,1.0
-8918953824683333532,-1.0
-8917427371723731807,-1.0
-8916980310735216080,1.0
-8916966672003412515,1.0
-8916247071228996273,1.0
-8916240084247973228,-1.0
-8916149057724678538,1.0
-8915898119683491456,1.0
-8914869321895797981,-0.5
-8914812382235878772,-1.0
-8914460584095655054,1.0
-8913972762519303857,-1.0
-8913931987934178251,-1.0
-8913459280175750915,-1.0
-8913295663475900128,0.0
-8912820652563072355,-1.0
-8910421922407311089,-1.0
-8910159719499547498,-1.0
-8910038795337844524,1.0
-8908859853855694649,-1.0
-8907391963661750427,-1.0
-8906710000844097168,1.0
-8905880099148447952,1.0
-8905339533505645347,1.0
-8904353551220871406,1.0
-8903989828872121501,-1.0
-8903593950388812095,-1.0
-8903152698168617824,-1.0
-8900400012420759470,-1.0
-8899678172717266756,1.0
-8898741794050586128,1.0
-8898365276291172560,1.0
-8898086378341302699,1.0
-8895991134003376814,1.0
-8894814881302392506,1.0
-8894270268411053253,1.0
-8894025216621573011,-1.0
-8892983852910604723,1.0
-8892846638477977193,1.0
-8892469000083088021,-1.0
-8891678115097432423,1.0
-8891487650391077114,-1.0
-8891242201945219215,-1.0
-8890990745857451118,1.0
-8889839591438863998,-1.0
-8889376140192985489,-1.0
-8888727852721392451,-1.0
-8888718094721539752,1.0
-8888421167389449239,0.0
-8888032835203830471,-1.0
-8887253550440910170,1.0
-8886520730305694392,1.0
-8886225156757722277,1.0
-8885794124583713983,1.0
-8884667961631413276,1.0
-8883650311335943604,-1.0
-8883070543573506305,-1.0
-8882664965075020321,1.0
-8882481293762238224,-1.0
-8879978825486480450,-1.0
-8879702898970580584,-1.0
-8879668708481114423,1.0
-8879612857710185259,1.0
-8878929187005314146,-1.0
-8878508087725833272,0.4
-8878004921037066340,-1.0
-8877856188296888996,1.0
-8876486017703142662,-1.0
-8876294093468756022,-1.0
-8876035118704786320,1.0
-8875407196804093690,-1.0
-8873045149777470460,0.0
-8872928425281721176,1.0
-8871538699701003175,-1.0
-8871480318539548754,-1.0
-8870929487700326887,-1.0
-8870285168477356334,-1.0
-8868298553170918014,-1.0
-8868284617020051089,-1.0
-8867646383253383809,-1.0
-8867499648403429480,-1.0
-8866696737185054791,1.0
-8866570566865858224,1.0
-8865802828280625853,1.0
-8865424259542209587,-1.0
-8864692144654235837,0.0
-8864588518551265171,1.0
-8864308974814885542,-1.0
-8863815075881140875,-1.0
-8863624458056122847,-1.0
-8863501942913399832,1.0
-8862557315732956942,-1.0
-8862553575272315811,1.0
-8862017516407649032,-1.0
-8861572073193921543,-1.0
-8860364565963304901,-0.6
-8860183625361828622,1.0
-8859381079125944280,-1.0
-8857574169031679020,1.0
-8855907002282242099,-1.0
-8854841990647419632,1.0
-8854426648165802461,-1.0
-8853695836886915615,-1.0
-8852146661636070172,1.0
-8851081268338341540,-1.0
-8850198468051626933,-1.0
-8849044906662918286,-1.0
-8849027582767627062,-1.0
-8848960508648963095,-1.0
-8848792773420043438,1.0
-8848436909783940511,1.0
-8848156550358374925,1.0
-8848122723232869338,1.0
-8846183011354491526,-1.0
-8846022941568565289,-1.0
-8845776376254767316,1.0
-8845592901442705479,-1.0
-8845451968381648249,-1.0
-8844954748695734309,1.0
-8844868122293367930,1.0
-8844490880875800734,-1.0
-8844321131376590732,-1.0
-8843437136702595570,-1.0
-8843161130791688803,1.0
-8843111124453689236,-0.3333333333333333
-8842468280387535886,-1.0
-8842454754309533074,1.0
-8842368960621912355,1.0
-8840903081714026369,1.0
-8840248769173690922,0.0
-8840192259781835715,-1.0
-8839866174580391453,-1.0
-8839325428136679190,-1.0
-8839299760969156168,1.0
-8839081000954409643,1.0
-8838484253775084603,-1.0
-8838154017486244873,1.0
-8836361522036732961,-1.0
-8835257426852615359,-1.0
-8834329295738129221,1.0
-8833814969966925871,1.0
-8833656650184365352,1.0
-8833547079961391970,0.0
-8833115169956551503,1.0
-8832480795425846726,1.0
-8831435513022703626,1.0
-8830786921003261809,1.0
-8830026306854556875,-1.0
-8829817482272152240,1.0
-8829334647259944136,-1.0
-8828849156556839172,1.0
-8828830432066406190,-1.0
-8827772550586819724,1.0
-8827726100657279682,-1.0
-8827440901067719670,1.0
-8827280159327887971,-1.0
-8827159212669538259,1.0
-8826831820165798448,-1.0
-8826786616227808168,1.0
-8824486949578466460,-1.0
-8823927183401941099,1.0
-8822575905680230051,-1.0
-8822464804374049349,1.0
-8822360165905750551,1.0
-8821925688532630821,1.0
-8821863724535536417,1.0
-8821836766130356235,1.0
-8821082737373700345,1.0
-8820903402668779949,1.0
-8820867306419962466,1.0
-8820730484711015547,1.0
-8820441148566356580,-1.0
-8819659995803317620,-1.0
-8819059858803431735,1.0
-8818874424867812621,1.0
-8818364600390344379,-1.0
-8816429439222175755,-1.0
-8816290083587971530,1.0
-8816164318418401265,-1.0
-8816021106338766896,-1.0
-8815540610519480469,1.0
-8814388933860109649,-1.0
-8812404718507165212,-1.0
-8811939805892883987,1.0
-8811771036722783852,-1.0
-8811584630735168268,-1.0
-8811422428231914247,1.0
-8811297312734484909,1.0
-8811087717622646385,1.0
-8810763575351173175,-1.0
-8810129563618454719,-1.0
-8808670879442590131,1.0
-8807913301673471352,-1.0
-8807830694714818861,1.0
-8807249897292422448,-1.0
-8806015918870389749,-1.0
-8805376170558410857,-1.0
-8805150489256505337,-1.0
-8805016629344312185,1.0
-8804764625617254083,1.0
-8804121314752060559,-1.0
-8803494480132791956,-1.0
-8803357998407036126,-1.0
-8803095417648623146,1.0
-8801263804654299103,-1.0
-8800386920797303825,1.0
-8799637293333732213,1.0
-8799185118358436109,1.0
-8798813884794934275,-1.0
-8798006659386150871,1.0
-8797495115281347152,1.0
-8797406581369585898,-1.0
-8796649363174646998,-1.0
-8796575583727610530,-1.0
-8796003175699319290,-1.0
-8795933325121622327,-1.0
-8795501369490805709,1.0
-8795194334237205832,1.0
-8795172415270585210,1.0
-8793374091055976838,-1.0
-8792868072727580126,-1.0
-8792564432709536581,-1.0
-8791946765146880375,1.0
-8791715228697905490,-1.0
-8791128874203813130,1.0
-8789649227499802948,-1.0
-8789176914247609035,-1.0
-8788587687911037440,1.0
-8788277412566856328,1.0
-8787199664667284029,1.0
-8786277354979437067,1.0
-8786033959265390430,-1.0
-8785590776964983615,-1.0
-8784185921980312633,-1.0
-8782854229601483076,1.0
-8782457269434813124,1.0
-8782439484587600112,-1.0
-8780463158253555390,-1.0
-8780369236458344552,1.0
-8779578423540995290,-1.0
-8779497013152272927,-1.0
-8778879398007265221,-1.0
-8778704092606005033,-1.0
-8778033036779307214,1.0
-8777371089171402846,-1.0
-8777018640448734022,-1.0
-8775855086041522505,-1.0
-8775587326831892098,-1.0
-8775196209216712635,1.0
-8773870074111489817,1.0
-8773623636538548077,-1.0
-8773538516208369810,1.0
-8772352084254664459,-1.0
-8772175048889744752,1.0
-8771657390393953490,1.0
-8771374370046304287,-1.0
-8769756574828736041,-1.0
-8767147665925431122,-1.0
-8767107937538084267,-1.0
-8766872345933433197,1.0
-8764719281685263656,0.6666666666666666
-8764336193901437892,-1.0
-8764013104221359155,-1.0
-8763086144131942401,1.0
-8761807378772571597,-1.0
-8761188837012553227,1.0
-8760837176071446987,-1.0
-8759924729556765528,1.0
-8759915270683276111,1.0
-8759447195090886339,-1.0
-8759256912654229576,1.0
-8759082158309060490,1.0
-8758996148957809759,-1.0
-8758717308626244971,-1.0
-8758694225574372787,1.0
-8758348502000330662,-1.0
-8758334322905293150,-1.0
-8757824506390557521,1.0
-8757725912047661840,-1.0
-8757513222055450591,1.0
-8756875342579033008,-1.0
-8756604731225740817,1.0
-8756536267624681479,-1.0
-8755782572091580303,-1.0
-8754889668475043072,1.0
-8752883105346736402,-1.0
-8752882141988093778,-1.0
-8752613723508250091,-1.0
-8752258147931946781,-0.6
-8752053437583733655,-1.0
-8750689368366472423,-1.0
-8750469830022273491,-1.0
-8750211700886353514,1.0
-8748621547046363248,1.0
-8748578472640267127,-1.0
-8747538899417056694,-1.0
-8746184968375765399,1.0
-8746181821562731123,1.0
-8745786688836496127,1.0
-8745179374191690758,-1.0
-8744714952841848115,1.0
-8743868129437628570,-1.0
-8743250174413506076,1.0
-8742891569427820837,1.0
-8742576194339574084,1.0
-8741844734307417374,-1.0
-8741289503395922543,-1.0
-8741074414820322806,-1.0
-8740726358294518426,-1.0
-8737319111605487466,-1.0
-8736651674057204357,1.0
-8736613012460898599,0.0
-8736101896102233494,1.0
-8734931383967599671,-1.0
-8734725009364508597,-1.0
-8733898449601973137,-1.0
-8733635652870101245,-1.0
-8733620824032237767,1.0
-8733509536573850311,-0.3333333333333333
-8733130251537608784,0.3333333333333333
-8732243693830897098,-1.0
-8731895023486949871,0.14285714285714285
-8731450937604672988,1.0
-8731365879914365789,0.0
-8730371585545183298,1.0
-8728021440837653333,-1.0
-8727952987201755888,1.0
-8727873042330082014,-1.0
-8727580076206181998,-1.0
-8727282597089114984,-1.0
-8727256664622208385,-1.0
-8725961961903049207,1.0
-8725514661563236274,-1.0
-8725369371393096287,-1.0
-8725174883675736018,-1.0
-8724706859926218320,-1.0
-8724482145088807814,-1.0
-8724026193886192593,-1.0
-8723968539369683757,-1.0
-8723341602156895512,-1.0
-8722060068424863835,-1.0
-8721086895562867573,-1.0
-8719969094495243094,1.0
-8719873741774985486,1.0
-8718936693564491831,-1.0
-8718805026331320889,-1.0
-8718425521345613964,1.0
-8717897656499791440,1.0
-8717801169107415062,-1.0
-8717339463672830246,-1.0
-8717158979124081014,-1.0
-8717114809785743985,1.0
-8715876450430827537,-1.0
-8713788598180450873,-1.0
-8713646739250434677,-1.0
-8713500415980082392,-1.0
-8712395209755092553,-1.0
-8709094757842347449,-1.0
-8708287886341265051,1.0
-8707980294501708365,1.0
-8707244053997831228,1.0
-8706865358312252353,1.0
-8706738315191280415,-1.0
-8706636207613388088,1.0
-8706155968340187235,-1.0
-8705046226138882614,1.0
-8704194866544845203,-1.0
-8704187870580877500,1.0
-8704178542691390879,-1.0
-8703701886096394371,-1.0
-8703654768369815204,-1.0
-8703457405351282095,1.0
-8702959495226372091,-1.0
-8702696612453382103,-1.0
-8702065755380953710,-1.0
-8700917648936872656,0.0
-8699591676725059849,-1.0
-8698947054283148834,-1.0
-8698897236249259191,-1.0
-8698842447108953463,0.6
-8697937768149958782,1.0
-8697382984687034665,1.0
-8697249260038033650,1.0
-8695360350452970925,-1.0
-8694929362093729648,-1.0
-8694674230164439850,1.0
-8694254819514376573,0.5
-8693513633562571148,1.0
-8692396781168293849,1.0
-8691192245186797571,-1.0
-8690541755223349737,1.0
-8690076653734972090,1.0
-8689181135482810487,1.0
-8689012723696339158,-1.0
-8687510122526092392,1.0
-8687231081308805916,1.0
-8686386444102454241,1.0
-8686289988176947411,1.0
-8685048816650666685,1.0
-8684867401641416800,1.0
-8684189584640805085,-1.0
-8683717523935828952,1.0
-8682506519757759186,-1.0
-8681965652179980673,1.0
-8681793125335189552,-1.0
-8681763736575812812,-1.0
-8681596515890608012,-1.0
-8681428176448354149,1.0
-8680344863082178278,1.0
-8679742593274855597,-1.0
-8678943057703416554,-1.0
-8677549624042033947,-1.0
-8676772900629618460,1.0
-8676467589419039092,1.0
-8676081906769309490,0.3333333333333333
-8676067351802465604,-1.0
-8675716946729800707,-1.0
-8674871511131898192,-0.3333333333333333
-8674222367413884989,-1.0
-8673956391405511151,-1.0
-8673864879963435531,-1.0
-8673499065534130788,-1.0
-8672857371484059711,1.0
-8672210730058053647,-1.0
-8671690216304500351,1.0
-8671298483525028489,1.0
-8671010834985100338,-1.0
-8670746405316697620,-1.0
-8670211907937543149,-1.0
-8669985670636028009,1.0
-8669360429779809596,1.0
-8669228971725791779,-1.0
-8669216895787030034,1.0
-8668925923667819787,1.0
-8668638606202662410,-1.0
-8668588223203816549,1.0
-8667613378206853068,1.0
-8667476984046002714,-1.0
-8667018216114843323,1.0
-8666732833478433528,1.0
-8665699882093490987,1.0
-8665557674968353494,-1.0
-8665347475096164960,-1.0
-8664319387158713031,-1.0
-8663274036262183808,-1.0
-8662427978067783078,1.0
-8661733850510124747,-1.0
-8660100290337341883,-1.0
-8659717896165659141,-1.0
-8659492876755773369,1.0
-8658446161499924074,-1.0
-8658417481433900724,1.0
-8658041361584867799,1.0
-8657692085374846704,-1.0
-8657336298097180225,1.0
-8656318601262402256,1.0
-8655849834136258921,-1.0
-8655812753718127867,-1.0
-8655806554186388258,1.0
-8654278110356991066,-1.0
-8653485968412537808,-1.0
-8651256052140958527,-1.0
-8650952027752063631,-1.0
-8650200114870897390,1.0
-8650019094733978002,-1.0
-8649982671690107613,-1.0
-8649025156267441860,1.0
-8648681140537663497,1.0
-8647553109192101052,-1.0
-8647537852471165731,0.0
-8646486130076438100,-1.0
-8646030592973918740,1.0
-8646020984659242431,1.0
-8645370790188710045,1.0
-8645294670464072631,-1.0
-8644630929095705653,1.0
-8643576144853964412,-1.0
-8643281489819347855,1.0
-8642618536195790041,-1.0
-8642162367149750100,-1.0
-8641976555740233535,1.0
-8640994286428342530,-1.0
-8640526892856036260,-1.0
-8638340072776434151,-1.0
-8636964830965801624,0.5
-8636355266971873594,-1.0
-8636146320683390451,-1.0
-8636126234804850686,-1.0
